username,profile_url,postsCount,followersCount,biography
lycan_3d,https://www.instagram.com/lycan_3d/,722,3804,Impresiones en 3d Efectivo/transferencia/mercadopago Diseo de figuras y piezas customizadas Diseo de llaveros personalizados Zona Caseros_Arg.
pyahik,https://www.instagram.com/pyahik/,1742,290718,"Custom and bulk orders: pyahikcustom@gmail.com Shipping:US,PR,CA,EU,UK,UAE,AU,NZ Los Angeles,CA"
threehappyd,https://www.instagram.com/threehappyd/,1,7,We are a happy and collaborative 3D design studio 
mattfarmerai,https://www.instagram.com/mattfarmerai/,1014,86641, New AI Tools  AI Expert  Humanoid Robots  Marketer  Taco connoisseur   @simply.ai.art
cmf.tech,https://www.instagram.com/cmf.tech/,218,237772,Wonderful by design By @nothing
_coco3d_,https://www.instagram.com/_coco3d_/,699,22262,3D Printfluencer!   ASMR All photos/videos are made by ME!
gaming_izzxi,https://www.instagram.com/gaming_izzxi/,91,131,17 |  | |  Hinduism August 4th
josefprusa,https://www.instagram.com/josefprusa/,1259,246189,Czech company founded by Josef Prusa making the award-winning open source desktop 3D printers.
tarabytes.corner,https://www.instagram.com/tarabytes.corner/,65,2921, Nerdy 3D prints for desk setups. Pen holders  Sticky Note Holders  Desk Besties Shop Restock every Thursday  Based in Virginia | Shop
teknocraft3d,https://www.instagram.com/teknocraft3d/,49,485,3D Bask & Tasarm  Hayalini Basyoruz  Kiiye zel tasarm & retim  3D bask  Hediyelik  Dekorasyon  DMden sipari ver | Hzl teslimat
the_vs_creation,https://www.instagram.com/the_vs_creation/,1774,16097,world wide shiping   DM me  for making 3d statue and beautiful couple special gift   Dm for 3d miniature  Client @kuku_fm
klinphudee,https://www.instagram.com/klinphudee/,27,1655,Designed to be noticed  11.00 . 
mochimakes3d,https://www.instagram.com/mochimakes3d/,50,1951,I like to model & print cute things  patreon.com/MochiMakes3D https://makerworld.com/en/@MochiMakes
bulkamancers,https://www.instagram.com/bulkamancers/,390,17504,"A small team of 3D artists, working hard to deliver 3D printable models of video game and anime characters. Join our Discord server!"
grumpii.art,https://www.instagram.com/grumpii.art/,453,95656,Grumpii Everything Grumpy 
makeyo.studio,https://www.instagram.com/makeyo.studio/,40,16116,"Dream it, print it, make it yours! Fresh & playful 3D models to print  MK01: 3D printed mid tower PC case "
3dprintingfocus,https://www.instagram.com/3dprintingfocus/,412,16250," Insights in the World of 3D Printing  New Trends, Ideas, Awesome Videos  Subscribe With Email for Free  All Products Mentioned Are In This Link"
valeriamomo_mattia3d,https://www.instagram.com/valeriamomo_mattia3d/,574,21446," Italy   We believe in true love, especially when it's 3d printed   Cute Flexi, Clickers and more!  Commercial License & Membership!"
